"","time","iraq","barack.obama","afghanistan","new.york","california","gop","george.w.bush","wall.street","john.mccain","supreme.court","iran","china","mitt.romney","republican.party","texas","hillary.clinton","israel","middle.east","florida","tea.party","europe","bill.clinton","medicare","sarah.palin","washington.post","christian","democratic.party","russia","pakistan","ohio","vietnam","british","ronald.reagan","massachusetts","social.security","chicago","arizona","new.york.city","d.c.","reagan","pentagon","virginia","jewish","european","fox.news","world.war.ii","iowa","syria","pennsylvania"
"98","2007-04-10",14,0,1,8,3,1,0,0,2,0,0,1,1,1,2,0,2,0,2,0,1,1,1,0,2,2,1,0,0,1,2,0,0,0,0,3,0,2,0,4,0,0,0,1,2,0,0,1,0
"99","2007-04-11",9,2,2,4,5,0,0,0,2,1,1,2,1,0,1,1,0,0,1,0,2,0,1,0,1,2,0,0,0,1,1,0,0,1,0,1,0,1,0,2,0,0,0,1,0,0,1,0,1
"100","2007-04-12",19,3,2,15,2,1,0,1,3,3,5,1,0,1,1,2,2,1,0,0,2,0,0,0,1,1,1,0,0,1,1,0,1,0,0,2,0,1,0,3,3,1,0,0,0,2,1,2,0
"101","2007-04-13",10,0,4,2,1,0,0,0,1,0,6,1,0,0,0,1,4,2,1,0,1,1,0,0,1,3,1,1,0,2,3,2,0,0,0,0,1,0,1,0,3,0,6,1,0,1,0,1,1
"102","2007-04-14",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"103","2007-04-15",0,0,0,3,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
"104","2007-04-16",14,1,3,10,2,0,0,3,2,1,2,0,0,0,1,2,0,1,3,0,1,1,1,0,2,1,1,1,0,0,1,0,2,0,0,0,0,0,1,3,1,3,0,1,2,2,1,0,0
"105","2007-04-17",10,0,1,6,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,2,1,0,2,2,1,3,0,0,0,4,0,1,0,0,0,10,1,1,1,1,0,0,0
"106","2007-04-18",10,0,3,6,1,0,0,0,1,2,1,2,0,0,0,0,2,1,1,0,0,0,0,0,2,1,0,0,2,0,2,1,1,0,0,5,0,1,1,1,3,15,0,0,1,0,0,0,1
"107","2007-04-19",10,0,0,4,0,1,0,0,2,4,4,1,0,0,0,0,4,2,0,0,5,1,0,0,4,3,0,0,0,0,1,0,0,0,0,1,0,0,2,1,2,12,4,2,0,0,0,0,0
"108","2007-04-20",8,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,2,1,0,1,2,0,0
"109","2007-04-21",2,1,1,1,1,0,0,0,1,3,1,0,1,0,0,2,0,1,0,0,2,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,1,1,0,0,0,1
"110","2007-04-22",4,0,1,7,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,6,1,1,0,0,0,0,1
"111","2007-04-23",8,0,1,6,1,0,0,0,1,4,0,1,0,1,3,0,2,1,1,0,6,0,0,0,2,5,0,2,0,0,1,0,1,0,0,0,0,0,1,3,0,10,0,3,1,0,0,0,0
"112","2007-04-24",9,0,1,8,4,2,0,0,1,1,2,2,0,0,2,0,2,2,0,0,0,0,0,0,3,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,11,0,0,2,0,3,0,0
"113","2007-04-25",20,0,0,6,2,0,0,1,2,0,3,2,0,2,3,1,0,3,3,0,1,0,0,0,3,1,0,1,1,0,3,1,1,0,0,1,0,0,1,2,1,3,0,0,2,2,1,1,0
"114","2007-04-26",21,3,1,9,2,1,0,1,1,3,6,2,1,0,1,2,1,1,0,0,3,0,0,0,3,0,2,1,0,4,1,0,1,0,0,2,0,0,1,5,0,4,0,1,1,0,0,0,0
"115","2007-04-27",6,1,1,6,4,1,0,1,0,2,1,1,0,2,1,2,0,1,2,0,1,0,1,0,2,1,0,1,1,1,2,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0
"116","2007-04-28",2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"117","2007-04-29",12,0,0,9,1,2,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,0,2,0,2,2,1,0,0,1,1,0,0,0
"118","2007-04-30",14,1,3,10,6,0,0,2,0,0,0,1,0,0,2,1,3,1,1,0,4,0,0,0,2,4,1,0,1,2,1,1,0,1,1,1,0,2,2,0,1,4,1,2,0,1,1,1,1
"119","2007-05-01",11,0,2,4,1,0,0,0,0,0,2,5,0,2,0,0,1,2,1,0,1,0,0,0,1,0,0,2,2,1,0,0,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,1
"120","2007-05-02",19,0,1,6,0,1,0,0,1,0,3,1,0,1,1,0,0,1,0,0,2,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,1,1,0,1,0,1,0
